Date,Value
31-Mar-01,83.1
28-Feb-01,91.6
31-Jan-01,96.1
31-Dec-00,100.6
30-Nov-00,108.4
31-Oct-00,108.6
30-Sep-00,110.1
31-Aug-00,91.6
31-Jul-00,88.7
30-Jun-00,86.2
31-May-00,82.9
30-Apr-00,83.1
31-Mar-00,89.7
29-Feb-00,87.9
31-Jan-00,75.3
31-Dec-99,72.9
30-Nov-99,71.3
31-Oct-99,65.5
30-Sep-99,67.6
31-Aug-99,63
31-Jul-99,58.7
30-Jun-99,52.4
31-May-99,52.6
30-Apr-99,52.5
31-Mar-99,42.8
28-Feb-99,38.2
31-Jan-99,40.9
